iter	Passed	Remaining
0	5	1421
1	11	1409
2	17	1403
3	25	1551
4	35	1753
5	40	1658
6	45	1593
7	50	1538
8	55	1492
9	59	1428
10	63	1383
11	67	1343
12	71	1304
13	75	1274
14	79	1242
15	83	1217
16	86	1186
17	90	1163
18	93	1140
19	97	1124
20	101	1108
21	104	1087
22	108	1073
23	111	1052
24	115	1035
25	118	1023
26	122	1009
27	128	1019
28	133	1019
29	136	1003
30	140	993
31	144	981
32	147	967
33	150	959
34	153	945
35	157	936
36	160	926
37	164	917
38	167	907
39	171	899
40	174	889
41	177	880
42	182	876
43	185	868
44	189	862
45	192	855
46	196	849
47	200	842
48	203	835
49	206	825
50	209	817
51	212	809
52	215	801
53	218	792
54	221	786
55	224	778
56	228	772
57	231	764
58	233	757
59	237	752
60	240	745
61	244	740
62	246	730
63	249	725
64	252	718
65	256	713
66	259	707
67	262	701
68	265	695
69	268	690
70	271	685
71	273	677
72	277	671
73	280	666
74	283	661
75	287	657
76	290	653
77	293	647
78	297	643
79	299	637
80	303	634
81	307	630
82	311	625
83	314	620
84	317	615
85	320	610
86	323	605
87	326	600
88	329	596
89	332	591
90	335	586
91	338	581
92	341	576
93	344	571
94	347	566
95	350	562
96	354	559
97	357	554
98	360	550
99	363	545
100	366	540
101	370	537
102	375	536
103	379	532
104	381	527
105	384	522
106	387	517
107	389	512
108	393	508
109	395	503
110	398	499
111	401	494
112	404	490
113	407	485
114	409	481
115	412	476
116	415	472
117	418	467
118	420	463
119	423	459
120	426	455
121	429	450
122	432	446
123	435	442
124	437	437
125	440	433
126	443	429
127	447	426
128	450	422
129	452	418
130	455	414
131	458	409
132	460	405
133	463	401
134	466	397
135	468	392
136	471	388
137	474	384
138	476	380
139	479	376
140	481	372
141	484	368
142	487	364
143	490	360
144	492	356
145	495	353
146	498	349
147	500	345
148	503	341
149	505	337
150	508	333
151	510	329
152	513	325
153	515	321
154	518	317
155	521	314
156	524	310
157	526	306
158	529	302
159	531	299
160	534	295
161	536	291
162	539	287
163	541	284
164	544	280
165	546	276
166	549	273
167	551	269
168	554	265
169	556	261
170	558	258
171	561	254
172	563	250
173	565	247
174	567	243
175	570	239
176	571	235
177	573	232
178	576	228
179	578	224
180	580	221
181	583	217
182	585	214
183	587	210
184	589	207
185	592	203
186	594	200
187	597	196
188	599	193
189	601	189
190	603	186
191	606	183
192	608	179
193	610	176
194	612	172
195	615	169
196	617	166
197	619	162
198	621	159
199	623	155
200	625	152
201	628	149
202	630	145
203	632	142
204	634	139
205	636	135
206	638	132
207	641	129
208	643	126
209	645	122
210	647	119
211	649	116
212	651	113
213	653	110
214	655	106
215	657	103
216	660	100
217	662	97
218	664	94
219	666	90
220	668	87
221	670	84
222	673	81
223	675	78
224	677	75
225	679	72
226	681	69
227	683	65
228	685	62
229	687	59
230	689	56
231	691	53
232	693	50
233	695	47
234	697	44
235	700	41
236	701	38
237	704	35
238	705	32
239	707	29
240	709	26
241	711	23
242	713	20
243	716	17
244	719	14
245	720	11
246	723	8
247	725	5
248	727	2
249	729	0
969	19
245	972	15
246	974	11
247	977	7
248	979	3
249	982	0

247	1179	9
248	1183	4
249	1186	0
